###A table for determining the band around a star that would contain rocky planets
###Format is star type, star mass, star luminosity, inner AU, outer AU, habitability modifier
M9Ia, 26.03, 90000, 167.825, 780.156, -8
M9Ib, 13.48, 9000, 53.071, 246.707, -7
M9II, 7.54, 1175, 19.176, 89.141, -6
M9III, 4.19, 150, 6.851, 31.85, -5
M9V, 0.07, 0.0001, 0.006, 0.026, -3
M9VI, 0.07, 0.00008, 0.005, 0.023, -4
M8Ia, 25.95, 89000, 166.89, 775.81, -8
M8Ib, 13.44, 8900, 52.775, 245.333, -7
M8II, 7.49, 1150, 18.971, 88.188, -6
M8III, 4.15, 145, 6.736, 31.314, -5
M8V, 0.09, 0.00023, 0.008, 0.039, -3
M8VI, 0.09, 0.000184, 0.008, 0.035, -4
M7Ia, 25.86, 88000, 165.95, 771.439, -8
M7Ib, 13.4, 8800, 52.478, 243.95, -7
M7II, 7.44, 1125, 18.763, 87.224, -6
M7III, 4.1, 140, 6.619, 30.77, -5
M7V, 0.1, 0.00035, 0.01, 0.049, -3
M7VI, 0.1, 0.00028, 0.009, 0.044, -4
M6Ia, 25.78, 87000, 165.004, 767.043, -7
M6Ib, 13.35, 8700, 52.179, 242.56, -6
M6II, 7.4, 1100, 18.554, 86.249, -5
M6III, 4.06, 135, 6.5, 30.215, -4
M6V, 0.11, 0.00048, 0.012, 0.057, -2
M6VI, 0.11, 0.000384, 0.011, 0.051, -3
M5Ia, 25.7, 86000, 164.053, 762.622, -7
M5Ib, 13.31, 8600, 51.878, 241.162, -6
M5II, 7.35, 1075, 18.342, 85.264, -5
M5III, 4.02, 130, 6.378, 29.65, -4
M5V, 0.12, 0.0006, 0.014, 0.064, -2
M5VI, 0.11, 0.00048, 0.012, 0.057, -3
M4Ia, 25.61, 85000, 163.096, 758.175, -7
M4Ib, 13.26, 8500, 51.576, 239.756, -6
M4II, 7.3, 1050, 18.127, 84.266, -5
M4III, 3.97, 125, 6.254, 29.075, -4
M4V, 0.13, 0.00075, 0.015, 0.071, -2
M4VI, 0.12, 0.0006, 0.014, 0.064, -3
M3Ia, 25.52, 84000, 162.134, 753.702, -7
M3Ib, 13.22, 8400, 51.271, 238.342, -6
M3II, 7.25, 1025, 17.91, 83.257, -5
M3III, 3.93, 120, 6.128, 28.487, -4
M3V, 0.13, 0.00087, 0.017, 0.077, -2
M3VI, 0.13, 0.000696, 0.015, 0.069, -3
M2Ia, 25.44, 83000, 161.166, 749.203, -6
M2Ib, 13.17, 8300, 50.965, 236.919, -5
M2II, 7.2, 1000, 17.69, 82.236, -4
M2III, 3.88, 115, 5.999, 27.887, -3
M2V, 0.14, 0.001, 0.018, 0.082, -1
M2VI, 0.13, 0.0008, 0.016, 0.074, -2
M1Ia, 25.35, 82000, 160.192, 744.676, -6
M1Ib, 13.13, 8200, 50.657, 235.487, -5
M1II, 7.16, 980, 17.512, 81.409, -4
M1III, 3.83, 110, 5.867, 27.274, -3
M1V, 0.22, 0.005, 0.04, 0.184, -1
M1VI, 0.21, 0.004, 0.035, 0.164, -2
M0Ia, 25.26, 81000, 159.213, 740.121, -6
M0Ib, 13.08, 8100, 50.347, 234.047, -5
M0II, 7.11, 960, 17.333, 80.574, -4
M0III, 3.78, 105, 5.732, 26.647, -3
M0V, 0.27, 0.01, 0.056, 0.26, -1
M0VI, 0.25, 0.008, 0.05, 0.233, -2
K9Ia, 25.17, 80000, 158.227, 735.538, -7
K9Ib, 13.04, 8000, 50.036, 232.598, -6
K9II, 7.07, 940, 17.151, 79.73, -5
K9III, 3.73, 100, 5.594, 26.005, -4
K9V, 0.35, 0.025, 0.088, 0.411, -2
K9VI, 0.33, 0.02, 0.079, 0.368, -3
K9VII, 0.06, 0.00005, 0.004, 0.018, -4
K8Ia, 25.08, 79000, 157.235, 730.927, -7
K8Ib, 12.99, 7900, 49.722, 231.139, -6
K8II, 7.03, 920, 16.968, 78.878, -5
K8III, 3.7, 97, 5.51, 25.612, -4
K8V, 0.4, 0.04, 0.112, 0.52, -2
K8VI, 0.37, 0.032, 0.1, 0.465, -3
K8VII, 0.06, 0.00005, 0.004, 0.018, -4
K7Ia, 24.99, 78000, 156.236, 726.286, -8
K7Ib, 12.94, 7800, 49.406, 229.672, -7
K7II, 6.98, 900, 16.782, 78.016, -6
K7III, 3.66, 94, 5.424, 25.213, -5
K7V, 0.44, 0.055, 0.131, 0.61, -3
K7VI, 0.41, 0.044, 0.117, 0.545, -4
K7VII, 0.06, 0.00005, 0.004, 0.018, -5
K6Ia, 24.9, 77000, 155.232, 721.615, -7
K6Ib, 12.9, 7700, 49.089, 228.195, -6
