###A table for determining the band around a star that would contain water 100'C - 0'C
###Format is star type, inner AU, outer AU
M9Ia, 167.825, 313.291
M9Ib, 53.071, 99.071
M9II, 19.176, 35.797
M9III, 6.851, 12.79
M9V, 0.006, 0.01
M9VI, 0.005, 0.009
M8Ia, 166.89, 311.546
M8Ib, 52.775, 98.519
M8II, 18.971, 35.414
M8III, 6.736, 12.575
M8V, 0.008, 0.016
M8VI, 0.008, 0.014
M7Ia, 165.95, 309.791
M7Ib, 52.478, 97.964
M7II, 18.763, 35.027
M7III, 6.619, 12.356
M7V, 0.01, 0.02
M7VI, 0.009, 0.017
M6Ia, 165.004, 308.026
M6Ib, 52.179, 97.406
M6II, 18.554, 34.636
M6III, 6.5, 12.134
M6V, 0.012, 0.023
M6VI, 0.011, 0.02
M5Ia, 164.053, 306.25
M5Ib, 51.878, 96.845
M5II, 18.342, 34.24
M5III, 6.378, 11.907
M5V, 0.014, 0.026
M5VI, 0.012, 0.023
M4Ia, 163.096, 304.464
M4Ib, 51.576, 96.28
M4II, 18.127, 33.839
M4III, 6.254, 11.676
M4V, 0.015, 0.029
M4VI, 0.014, 0.026
M3Ia, 162.134, 302.668
M3Ib, 51.271, 95.712
M3II, 17.91, 33.434
M3III, 6.128, 11.44
M3V, 0.017, 0.031
M3VI, 0.015, 0.028
M2Ia, 161.166, 300.861
M2Ib, 50.965, 95.141
M2II, 17.69, 33.024
M2III, 5.999, 11.199
M2V, 0.018, 0.033
M2VI, 0.016, 0.03
M1Ia, 160.192, 299.043
M1Ib, 50.657, 94.566
M1II, 17.512, 32.692
M1III, 5.867, 10.953
M1V, 0.04, 0.074
M1VI, 0.035, 0.066
M0Ia, 159.213, 297.214
M0Ib, 50.347, 93.987
M0II, 17.333, 32.357
M0III, 5.732, 10.701
M0V, 0.056, 0.104
M0VI, 0.05, 0.093
K9Ia, 158.227, 295.374
K9Ib, 50.036, 93.405
K9II, 17.151, 32.018
K9III, 5.594, 10.443
K9V, 0.088, 0.165
K9VI, 0.079, 0.148
K9VII, 0.004, 0.007
K8Ia, 157.235, 293.522
K8Ib, 49.722, 92.82
K8II, 16.968, 31.675
K8III, 5.51, 10.285
K8V, 0.112, 0.209
K8VI, 0.1, 0.187
K8VII, 0.004, 0.007
K7Ia, 156.236, 291.658
K7Ib, 49.406, 92.23
K7II, 16.782, 31.329
K7III, 5.424, 10.125
K7V, 0.131, 0.245
K7VI, 0.117, 0.219
K7VII, 0.004, 0.007
K6Ia, 155.232, 289.783
K6Ib, 49.089, 91.637
K6II, 16.595, 30.979
K6III, 5.336, 9.962
K6V, 0.148, 0.276
K6VI, 0.132, 0.247
K6VII, 0.004, 0.008
K5Ia, 154.22, 287.895
K5Ib, 48.769, 91.04
K5II, 16.405, 30.625
K5III, 5.248, 9.796
K5V, 0.163, 0.304
